id,heating,macrozone,microzone,latitude,longitude,photo_count,price,sqm,n_rooms,n_bath,floor_num,has_elevator,feat_arredato,feat_balcone,feat_ascensore,feat_lavatrice,feat_aria_condizionata,feat_portineria,feat_terrazzo,feat_giardino,feat_lavastoviglie
126619903,Assente,"Uptown, Cascina Merlata, Viale Certosa",Ghisolfa - Mac Mahon,45.4926,9.1559,22,500,19,2,1,5,0,0,1,0,0,0,0,0,0,0
126615641,Assente,"Cimiano, Crescenzago, Adriano",Quartiere Adriano,45.518,9.2452,30,490,134,6,2,3,0,0,1,0,1,0,0,1,0,0
127211377,Assente,"Bisceglie, Baggio, Olmi",Bisceglie,45.4548,9.1061,14,440,110,5,1,3,0,0,1,0,1,0,0,0,0,0
126058339,Assente,Forlanini,Quartiere Forlanini,45.4603,9.2469,12,490,120,5,2,0.5,0,0,1,0,1,0,0,0,0,0
127018185,Assente,"Precotto, Turro",Turro,45.499,9.2212,20,550,145,6,2,5,0,0,0,0,1,0,0,0,0,0
127368393,Assente,"Bande Nere, Inganni",Piazzale Siena,45.465,9.1354,43,490,192,6,3,7,0,0,1,0,1,0,0,0,0,0
126175263,Assente,"Bande Nere, Inganni",Gambara,45.4632,9.1436,19,550,86,4,1,3,0,0,0,0,1,0,0,0,0,0
127213847,Assente,"Uptown, Cascina Merlata, Viale Certosa",Ghisolfa - Mac Mahon,45.4898,9.1527,20,570,100,5,1,7,0,0,1,0,1,0,0,0,0,0
125127515,Assente,"Affori, Bovisa",Dergano,45.5001,9.1722,17,490,90,5,2,1,0,0,0,0,1,0,0,0,0,0
126845023,Assente,"Bande Nere, Inganni",Inganni,45.4563,9.1194,15,580,130,4,1,3,0,0,1,0,1,0,1,1,1,1
122984848,Assente,"Centrale, Repubblica",Buenos Aires,45.4785,9.2031,21,550,172,6,2,3,0,0,1,0,1,1,1,0,0,0
123675599,Assente,"Centrale, Repubblica",Buenos Aires,45.4849,9.2096,23,580,138,4,2,3,0,0,1,0,1,0,1,0,0,1
127519816,Assente,"Pasteur, Rovereto",Rovereto,45.4953,9.2192,21,450,110,4,1,4,0,0,0,0,1,0,1,0,0,1
123586715,Centralizzato,"Udine, Lambrate",Udine,45.4929,9.2393,10,400,16,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126041939,Autonomo,"Bisceglie, Baggio, Olmi",Quarto Cagnino,45.4725,9.1113,10,490,9,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126041677,Centralizzato,"Città Studi, Susa",Città Studi,45.4859,9.2256,10,420,10,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126041639,Centralizzato,"Città Studi, Susa",Casoretto,45.4874,9.2245,10,500,16,1,1,NA,NA,1,0,0,0,0,0,0,0,0
116376057,Assente,"Affori, Bovisa",Affori,45.5185,9.1671,23,540,16,3,1,1,0,0,1,0,1,0,0,0,0,0
123690607,Assente,"Bande Nere, Inganni",Primaticcio,45.4617,9.1265,23,500,110,4,1,7,0,0,1,0,1,1,1,0,0,1
125348163,Assente,"Bicocca, Niguarda",Niguarda,45.5168,9.1967,11,450,153,5,2,2,0,0,1,0,1,0,1,0,0,1
127513642,Autonomo,"Bande Nere, Inganni",Gambara,45.463,9.14258,26,455,71,4,1,4,1,0,0,0,0,0,0,0,0,0
127541900,Autonomo,"Solari, Washington",Vercelli - Wagner,45.4692,9.15634,25,450,164,6,2,1,0,0,0,0,0,0,0,0,0,0
127504534,Autonomo,"Precotto, Turro",Villa San Giovanni,45.5189,9.2214,18,330,151,6,2,1,0,0,0,0,0,0,0,0,0,0
127303403,Autonomo,Forlanini,Quartiere Forlanini,45.4556,9.24846,27,470,140,6,2,3,1,0,0,0,0,0,0,0,0,0
127647050,Autonomo,Forlanini,Quartiere Forlanini,45.4556,9.24846,26,450,140,6,2,3,1,0,0,0,0,0,0,0,0,0
125341349,Assente,"Cimiano, Crescenzago, Adriano",Cimiano,45.5022,9.2379,13,500,15,3,1,4,0,0,1,0,0,0,1,0,0,0
120209326,Assente,"Abbiategrasso, Chiesa Rossa",Chiesa Rossa,45.4317,9.182,13,445,58,2,1,1,0,0,1,0,1,1,1,0,1,1
125866583,Assente,"Bicocca, Niguarda",Bignami - Ponale,45.5274,9.2111,19,580,11,5,2,8,0,0,1,0,1,0,0,0,1,1
127159473,Assente,"Abbiategrasso, Chiesa Rossa",Cermenate - Abbiategrasso,45.4335,9.1796,14,550,25,4,1,0.5,0,0,0,0,1,0,1,0,1,1
127515790,Assente,"Corvetto, Rogoredo",Corvetto,45.4421,9.2228,20,500,88,3,1,1,0,0,1,0,1,1,0,0,0,0
127533904,Assente,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.4952,9.1428,17,450,14,6,2,0,0,0,0,0,1,1,1,0,0,0
126175061,Assente,"Affori, Bovisa",Bovisa,45.5019,9.1446,33,450,60,3,1,1,0,0,1,0,1,0,0,0,0,1
124343417,Assente,"Napoli, Soderini",Piazza Napoli,45.4511,9.1539,19,550,60,3,1,1,0,0,0,0,1,0,1,0,0,0
87582048,Centralizzato,"Ripamonti, Vigentino",Vigentino - Fatima,45.4334,9.19856,20,500,90,4,1,2,0,1,0,1,1,0,1,0,1,0
127446952,Assente,"Ponte Lambro, Santa Giulia",Santa Giulia,45.432,9.2444,25,470,30,4,1,2,0,0,0,0,1,0,0,0,1,0
123440331,Assente,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.4933,9.1475,13,500,20,4,2,0.5,0,0,1,0,1,0,1,0,0,0
123662587,Assente,Forlanini,Quartiere Forlanini,45.4589,9.2507,17,550,100,3,1,3,0,0,1,0,1,0,1,0,0,1
124947647,Assente,"Ponte Lambro, Santa Giulia",Santa Giulia,45.4312,9.2434,18,530,130,4,1,5,0,0,1,0,1,1,0,0,0,0
127341561,Assente,Navigli,Bocconi,45.4464,9.1934,11,500,120,5,2,4,0,0,1,0,1,1,1,0,1,1
127447474,Assente,"Ponte Lambro, Santa Giulia",Santa Giulia,45.432,9.2444,30,470,30,4,1,2,0,0,0,0,1,0,0,0,0,0
127103839,Assente,"Città Studi, Susa",Casoretto,45.4862,9.2331,8,500,78,3,1,1,0,0,1,0,1,0,0,0,0,0
94743370,Assente,"Bande Nere, Inganni",Piazzale Siena,45.468,9.1267,10,450,13,2,1,3,0,0,0,0,1,0,1,0,0,0
125023769,Assente,"Udine, Lambrate",Rubattino,45.4798,9.2473,9,325,80,3,2,8,0,0,1,0,0,0,0,1,0,0
115244887,Assente,"Bicocca, Niguarda",Bignami - Ponale,45.5217,9.2081,11,550,18,5,2,8,0,0,1,0,1,0,1,0,1,0
126592155,Assente,"Solari, Washington",Solari,45.4562,9.1703,12,500,20,3,2,2,0,0,1,0,1,0,1,0,0,1
125972243,Centralizzato,"Porta Vittoria, Lodi",Bologna - Sulmona,45.4429,9.22731,19,330,16,5,1,4,1,1,1,0,0,0,0,0,0,0
115245685,Assente,"Città Studi, Susa",Argonne - Corsica,45.4674,9.2298,11,550,70,2,1,3,0,0,1,0,1,0,0,0,0,0
125540711,Assente,"Bicocca, Niguarda",Niguarda,45.5219,9.1912,15,450,90,4,1,0.5,0,0,1,0,1,0,0,0,0,0
121255058,Assente,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.5023,9.1416,16,550,110,4,2,2,0,0,1,0,1,0,0,0,0,1
127495050,Assente,"Bicocca, Niguarda",Niguarda,45.5151,9.1888,17,390,100,3,1,3,0,0,1,0,1,0,1,0,0,1
127343357,Assente,"Bicocca, Niguarda",Prato Centenaro,45.5112,9.1981,24,540,88,3,1,0.5,0,0,0,0,1,0,0,0,0,0
127306229,Assente,"Bicocca, Niguarda",Prato Centenaro,45.5096,9.202,24,550,80,3,1,1,0,0,1,0,1,1,1,0,1,1
127578370,Assente,"Napoli, Soderini",Tripoli - Soderini,45.4538,9.1471,22,500,15,3,1,4,0,0,0,0,1,0,1,0,0,1
106927935,Assente,"Cimiano, Crescenzago, Adriano",Cimiano,45.5004,9.2411,12,500,97,4,2,6,0,0,1,0,1,1,1,0,0,1
125540229,Assente,"Bicocca, Niguarda",Niguarda,45.5219,9.1912,15,450,90,4,1,0.5,0,0,1,0,1,0,0,0,0,0
126864395,Assente,"Bicocca, Niguarda",Niguarda,45.5145,9.1956,12,500,109,4,1,2,0,0,1,0,1,0,1,0,0,1
127598696,Assente,"Pasteur, Rovereto",Pasteur,45.4897,9.2161,25,565,90,4,1,1,0,0,1,0,1,1,1,0,0,1
