id,title,bathrooms,features,address,macrozone,microzone,latitude,longitude,price_n,surface_n,rooms_n,price_sqm,surface_room,accesso per disabili,aria condizionata,armadi,armadio a muro,arredata,arredato,ascensore,attacco telefonico,bagno in comune,bagno per disabili,bagno privato,balcone,caminetto,campo da tennis,cancello elettrico,cantina,con biancheria,connessione ad internet,cucina,esposizione doppia,esposizione esterna,esposizione interna,fibra ottica,giardino,impianto di allarme,impianto tv centralizzato,impianto tv con parabola satellitare,ingresso privato,lavastoviglie,lavatrice,microonde,moquette,palestra,parquet,parzialmente arredato,piscina,porta blindata,portineria,ripostiglio,sistema di allarme,taverna,terrazzo,tv,tv satellitare/pay tv,videocitofono,heating_Assente,heating_Autonomo,heating_Centralizzato,bikemi_density_500m,tram_density_500m,metro_density_750m
126619903,"Stanza singola viale Monte Ceneri 29, Milano",1,"balcone, cucina, bagno in comune, parquet, armadi",Viale Monte Ceneri,"Uptown, Cascina Merlata, Viale Certosa",Ghisolfa - Mac Mahon,45.4926,9.1559,500,19,2,26.31578947368421,19,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,3,19,0
126175263,"Stanza singola via Pasquale Fornari 18, Milano",1,"cucina, lavatrice, bagno in comune, attacco telefonico, armadi",Via Pasquale Fornari,"Bande Nere, Inganni",Gambara,45.4632,9.1436,550,86,4,6.395348837209302,17.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,0,3
127213847,"Stanza singola viale Certosa 20, Milano",1,"balcone, cucina, lavatrice, bagno in comune, attacco telefonico, armadi",Viale Certosa,"Uptown, Cascina Merlata, Viale Certosa",Ghisolfa - Mac Mahon,45.4898,9.1527,570,100,5,5.7,16,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,2,14,0
125127515,"Stanza singola via Caianello 23, Milano",2,"cucina, lavatrice, bagno in comune, attacco telefonico, armadi",Via Caianello,"Affori, Bovisa",Dergano,45.5001,9.1722,490,90,5,5.444444444444445,14.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,3,3,0
123586715,"Stanza singola via Privata Deruta, Milano",1,arredato,Via Privata Deruta,"Udine, Lambrate",Udine,45.4929,9.2393,400,16,1,25,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,2
126041939,"Stanza singola via Carlo Marx, Milano",1,arredato,Via Carlo Marx,"Bisceglie, Baggio, Olmi",Quarto Cagnino,45.4725,9.1113,490,9,1,54.44444444444444,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,0,0,1
126041677,"Stanza singola via Nicola Antonio Porpora, Milano",1,arredato,Via Nicola Antonio Porpora,"Città Studi, Susa",Città Studi,45.4859,9.2256,420,10,1,42,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,4,0,1
126041639,"Stanza multipla via Alfredo Catalani, Milano",1,arredato,Via Alfredo Catalani,"Città Studi, Susa",Casoretto,45.4874,9.2245,500,16,1,31.25,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,3,0,3
116376057,"Stanza singola via Giuseppe Taccioli 20, Milano",1,"balcone, cucina, connessione ad internet, lavatrice, microonde, bagno in comune, armadi",Via Giuseppe Taccioli,"Affori, Bovisa",Affori,45.5185,9.1671,540,16,3,33.75,16,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,0,0,1
127513642,"Stanza in affitto in appartamento via Moncalvo, Milano",1,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Moncalvo,"Bande Nere, Inganni",Gambara,45.463,9.14258,455,71,4,6.408450704225352,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,1,0,3
