"id","bathrooms","heating","macrozone","microzone","price_n","rooms_n","price_sqm","surface_room","geometry","time_to_nearest_metro_mins","time_to_nearest_tram_mins","min_time_to_uni_mins"
126619903,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Ghisolfa - Mac Mahon",500,2,26.3157894736842,19,c(9.1559, 45.4926),19.2590610084271,3.39621196569388,24.8
126175263,"1","Assente","Bande Nere, Inganni","Gambara",550,4,6.3953488372093,17.2,c(9.1436, 45.4632),3.05505629733181,10.0215861216985,75.9
127213847,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Ghisolfa - Mac Mahon",570,5,5.7,16,c(9.1527, 45.4898),14.9242552332383,1.06808443358739,30.6
125127515,"2","Assente","Affori, Bovisa","Dergano",490,5,5.44444444444444,14.4,c(9.1722, 45.5001),13.0248195574467,3.95539573712096,22.2
123586715,"1","Centralizzato","Udine, Lambrate","Udine",400,1,25,16,c(9.2393, 45.4929),3.89416631699019,14.4396361289624,31.2
126041939,"1","Autonomo","Bisceglie, Baggio, Olmi","Quarto Cagnino",490,1,54.4444444444444,9,c(9.1113, 45.4725),10.7624773195571,15.4938181518565,88.1
126041677,"1","Centralizzato","Città Studi, Susa","Città Studi",420,1,42,10,c(9.2256, 45.4859),8.75709986403874,11.5162971141168,12
126041639,"1","Centralizzato","Città Studi, Susa","Casoretto",500,1,31.25,16,c(9.2245, 45.4874),9.44336724866997,12.4955019313246,15.1
116376057,"1","Assente","Affori, Bovisa","Affori",540,3,33.75,16,c(9.1671, 45.5185),5.58964362113274,27.8221530961673,34.9
127513642,"1","Autonomo","Bande Nere, Inganni","Gambara",455,4,6.40845070422535,14.2,c(9.14258, 45.463),3.35922459101249,11.1936879660167,76.6
125341349,"1","Assente","Cimiano, Crescenzago, Adriano","Cimiano",500,3,33.3333333333333,15,c(9.2379, 45.5022),5.78544271723051,22.3332771603982,41.6
120209326,"1","Assente","Abbiategrasso, Chiesa Rossa","Chiesa Rossa",445,2,7.67241379310345,23.2,c(9.182, 45.4317),6.41275343436552,1.91630343256795,101.5
125866583,"2","Assente","Bicocca, Niguarda","Bignami - Ponale",580,5,52.7272727272727,11,c(9.2111, 45.5274),1.69758579805221,2.83193384438855,88.2
127159473,"1","Assente","Abbiategrasso, Chiesa Rossa","Cermenate - Abbiategrasso",550,4,22,25,c(9.1796, 45.4335),6.65049733078476,2.30830090060649,102.4
127515790,"1","Assente","Corvetto, Rogoredo","Corvetto",500,3,5.68181818181818,23.4666666666667,c(9.2228, 45.4421),3.08488407400527,14.5760852229016,61.1
127533904,"2","Assente","Uptown, Cascina Merlata, Viale Certosa","Certosa",450,5,32.1428571428572,14,c(9.1428, 45.4952),17.4140941611961,0.837179937137733,23.2
126175061,"1","Assente","Affori, Bovisa","Bovisa",450,3,7.5,16,c(9.1446, 45.5019),29.0474186416911,1.30082236247704,14.6
124343417,"1","Assente","Napoli, Soderini","Piazza Napoli",550,3,9.16666666666667,16,c(9.1539, 45.4511),7.41429164652005,2.00470813403241,94.7
87582048,"1","Centralizzato","Ripamonti, Vigentino","Vigentino - Fatima",500,4,5.55555555555556,18,c(9.19856, 45.4334),26.5725479009283,3.18617106023858,88.3
127446952,"1","Assente","Ponte Lambro, Santa Giulia","Santa Giulia",470,4,15.6666666666667,20,c(9.2444, 45.432),8.20818505974148,23.0443097730101,87.3
123440331,"2","Assente","Uptown, Cascina Merlata, Viale Certosa","Certosa",500,4,25,20,c(9.1475, 45.4933),17.9609418973348,2.60201728497621,24.2
123662587,"1","Assente","Forlanini","Quartiere Forlanini",550,3,5.5,20,c(9.2507, 45.4589),13.6798354368884,9.50819839858425,50.3
127447474,"1","Assente","Ponte Lambro, Santa Giulia","Santa Giulia",470,4,15.6666666666667,20,c(9.2444, 45.432),8.20818505974148,23.0443097730101,87.3
127103839,"1","Assente","Città Studi, Susa","Casoretto",500,3,6.41025641025641,20.8,c(9.2331, 45.4862),4.30736522851628,4.49648530703374,16.2
94743370,"1","Assente","Bande Nere, Inganni","Piazzale Siena",450,2,34.6153846153846,13,c(9.1267, 45.468),14.2482992111686,14.3080895768696,75.1
115244887,"2","Assente","Bicocca, Niguarda","Bignami - Ponale",550,5,30.5555555555556,18,c(9.2081, 45.5217),1.74826598491505,1.57481734900658,77.8
126592155,"2","Assente","Solari, Washington","Solari",500,3,25,20,c(9.1703, 45.4562),4.19911394731981,2.20032022393396,77.8
125972243,"1","Centralizzato","Porta Vittoria, Lodi","Bologna - Sulmona",330,5,20.625,16,c(9.22731, 45.4429),6.43707738395382,14.7293370377862,60
115245685,"1","Assente","Città Studi, Susa","Argonne - Corsica",550,2,7.85714285714286,20,c(9.2298, 45.4674),2.84924584077141,6.10091907334329,20.2
127343357,"1","Assente","Bicocca, Niguarda","Prato Centenaro",540,3,6.13636363636364,23.4666666666667,c(9.1981, 45.5112),7.78398542125856,6.22227709432528,59.6
127306229,"1","Assente","Bicocca, Niguarda","Prato Centenaro",550,3,6.875,21.3333333333333,c(9.202, 45.5096),4.22618130838534,1.75999107011544,62.9
127578370,"1","Assente","Napoli, Soderini","Tripoli - Soderini",500,3,33.3333333333333,15,c(9.1471, 45.4538),1.18764652198948,5.83281054210433,91.8
106927935,"2","Assente","Cimiano, Crescenzago, Adriano","Cimiano",500,4,5.15463917525773,19.4,c(9.2411, 45.5004),1.54231283632438,24.0458497386185,40.3
127598696,"1","Assente","Pasteur, Rovereto","Pasteur",565,4,6.27777777777778,18,c(9.2161, 45.4897),2.45018294230765,2.10644773100751,25.2
121485442,"1","Assente","Cimiano, Crescenzago, Adriano","Cimiano",500,2,7.14285714285714,20,c(9.2411, 45.5004),1.54231283632438,24.0458497386185,40.3
120199818,"1","Assente","Famagosta, Barona","Barona",550,3,10.5769230769231,13.8666666666667,c(9.1552, 45.444),15.2587788689157,5.85871097282434,103.9
127423629,"2","Assente","Bisceglie, Baggio, Olmi","Quarto Cagnino",450,4,28.125,16,c(9.1122, 45.471),11.77085333866,15.8087361358074,88
112768253,"1","Assente","Maggiolina, Istria","Maggiolina",550,2,45.8333333333333,12,c(9.2037, 45.4954),10.2617576057233,5.09246796232377,40.2
126675465,"1","Assente","Bicocca, Niguarda","Niguarda",550,3,45.8333333333333,12,c(9.1918, 45.5135),15.7030437958342,1.62398388876159,53.3
127441576,"2","Assente","Bisceglie, Baggio, Olmi","Quarto Cagnino",500,4,23.8095238095238,21,c(9.1122, 45.471),11.77085333866,15.8087361358074,88
127658150,"1","Assente","Udine, Lambrate","Udine",575,3,8.84615384615385,17.3333333333333,c(9.2336, 45.4927),4.56334671502728,14.1590925550942,26.7
119948680,"1","Assente","Porta Romana, Cadore, Montenero","Montenero",500,4,5.55555555555556,18,c(9.2088, 45.4593),14.967592574653,2.13334123338058,42.4
127111143,"1","Assente","Cimiano, Crescenzago, Adriano","Cimiano",550,2,36.6666666666667,15,c(9.2367, 45.5032),8.0510720099621,20.5158025511028,43.6
127102075,"1","Assente","Città Studi, Susa","Città Studi",550,3,7.85714285714286,18.6666666666667,c(9.2331, 45.4728),8.27461017745962,3.1362425358432,15
127209789,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Musocco",440,4,22,20,c(9.1287, 45.5025),18.1415120504213,3.20900217662787,37.7
127209559,"1","Assente","Città Studi, Susa","Casoretto",540,4,27,20,c(9.227, 45.4861),9.33834175785482,11.2761403851812,11.5
126544091,"1","Assente","Udine, Lambrate","Quartiere Feltre",520,3,6.04651162790698,22.9333333333333,c(9.2421, 45.4888),7.82891515316799,9.69559940628404,27.1
124702643,"1","Assente","Città Studi, Susa","Casoretto",450,2,7.5,24,c(9.2273, 45.4902),11.4242413493863,14.0253442691348,18.3
102972386,"1","Assente","Bicocca, Niguarda","Bignami - Ponale",490,4,5.44444444444444,18,c(9.2088, 45.5224),1.07235021379423,0.787074634027932,79.2
125753445,"1","Assente","Maggiolina, Istria","Istria",470,2,7.23076923076923,26,c(9.1957, 45.4985),3.82805488638243,1.54401227264773,49.5
126733801,"1","Centralizzato","Udine, Lambrate","Udine",550,2,36.6666666666667,15,c(9.2343, 45.4943),5.88227671287423,16.6954296317088,29.2
