linea,mezzo,percorso,nome,lung_km,num_ferm,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
1,METRO,100002,BISCEGLIE - SESTO 1 MAGGIO FS,16.38,27,9.187530144,45.48349199,(45.4834919858101
1,METRO,100013,MOLINO DORINO - SESTO 1 MAGGIO FS,19.18,29,9.176966069,45.49040765,(45.4904076482896
1,METRO,100023,QT8 - SESTO 1 MAGGIO FS,15.07,24,9.196166196,45.48885432,(45.4888543183143
1,METRO,100030,RHO FIERAMILANO - SESTO 1 MAGGIO FS,21.16,31,9.168974353,45.49224135,(45.4922413524403
1,METRO,100033,SESTO 1 MAGGIO FS - BISCEGLIE,16.38,27,9.187530144,45.48349199,(45.4834919858101
1,METRO,100034,SESTO 1 MAGGIO FS - MOLINO DORINO,19.18,29,9.176966069,45.49040765,(45.4904076482896
1,METRO,100035,SESTO 1 MAGGIO FS - RHO FIERAMILANO,21.16,31,9.168974353,45.49224135,(45.4922413524403
1,METRO,100038,SESTO MARELLI - SESTO 1 MAGGIO FS,2.22,3,9.232076744,45.53321943,(45.533219425726
1,METRO,100042,VILLA S.G. - BISCEGLIE,13.48,24,9.179436724,45.47475822,(45.4747582221548
1,METRO,100043,VILLA S.G. - RHO FIERAMILANO,18.26,28,9.160263986,45.48688668,(45.486886680842
2,METRO,100045,ABBIATEGRASSO - CASCINA GOBBA,15.3,20,9.203922805,45.47577034,(45.4757703438641
2,METRO,100046,ABBIATEGRASSO - CENTRALE FS,8.47,12,9.178112204,45.46086408,(45.4608640769378
2,METRO,100047,ABBIATEGRASSO - COLOGNO NORD,18.89,23,9.217839274,45.48466028,(45.4846602833999
2,METRO,100048,ABBIATEGRASSO - GESSATE,30.05,30,9.280330195,45.50176938,(45.5017693802267
2,METRO,100050,ASSAGO MILANOFIORI FORUM - CASCINA GOBBA,18.51,21,9.195689288,45.4659269,(45.4659268973838
2,METRO,100051,ASSAGO MILANOFIORI FORUM - CENTRALE FS,11.68,13,9.171160557,45.44842026,(45.4484202623285
2,METRO,100052,ASSAGO MILANOFIORI FORUM - COLOGNO NORD,22.09,24,9.209173974,45.47530932,(45.4753093158473
2,METRO,100053,ASSAGO MILANOFIORI FORUM - GESSATE,33.25,31,9.269938919,45.49460828,(45.4946082788939
2,METRO,100058,CASCINA ANTONIETTA - GESSATE,1.08,2,9.430068685,45.5436745,(45.5436745031413
2,METRO,100059,CASCINA GOBBA - ABBIATEGRASSO,15.3,20,9.203922805,45.47577034,(45.475770343864
2,METRO,100060,CASCINA GOBBA - ASSAGO MILANOFIORI FORUM,18.51,21,9.195689288,45.4659269,(45.4659268973838
2,METRO,100064,CENTRALE FS - ABBIATEGRASSO,8.47,12,9.178112204,45.46086408,(45.4608640769377
2,METRO,100065,CENTRALE FS - ASSAGO MILANOFIORI FORUM,11.68,13,9.171160557,45.44842026,(45.4484202623285
2,METRO,100066,COLOGNO NORD - ABBIATEGRASSO,18.89,23,9.217839274,45.48466028,(45.4846602833998
2,METRO,100067,COLOGNO NORD - ASSAGO MILANOFIORI FORUM,22.09,24,9.209173974,45.47530932,(45.4753093158472
2,METRO,100070,FAMAGOSTA - ASSAGO MILANOFIORI FORUM,4.54,3,9.157717306,45.41909644,(45.4190964371088
2,METRO,100073,GESSATE - ABBIATEGRASSO,30.05,30,9.280330195,45.50176938,(45.5017693802266
2,METRO,100074,GESSATE - ASSAGO MILANOFIORI FORUM,33.25,31,9.269938919,45.49460828,(45.4946082788938
2,METRO,100077,GORGONZOLA - ABBIATEGRASSO,27.29,28,9.265001118,45.49744885,(45.4974488490578
2,METRO,100080,GORGONZOLA - GESSATE,2.76,3,9.420003754,45.54113665,(45.5411366539832
2,METRO,100095,GORGONZOLA - ASSAGO MILANOFIORI FORUM,30.49,29,9.254928224,45.48995414,(45.4899541355144
2,METRO,100102,COLOGNO NORD - LAMBRATE FS,7.62,8,9.259519054,45.51040574,(45.5104057410178
2,METRO,100158,GESSATE - LAMBRATE FS,18.77,15,9.328932207,45.52027576,(45.5202757561496
2,METRO,100159,LAMBRATE FS - COLOGNO NORD,7.62,8,9.259519054,45.51040574,(45.5104057410177
2,METRO,100160,LAMBRATE FS - GESSATE,18.77,15,9.328932207,45.52027576,(45.5202757561496
2,METRO,100161,LAMBRATE FS - PIOLA,0.78,2,9.230417469,45.48263953,(45.4826395289505
2,METRO,100162,PIOLA - LAMBRATE FS,0.78,2,9.230417469,45.48263953,(45.4826395289505
3,METRO,100081,COMASINA - SAN DONATO,15.63,21,9.202420156,45.47052741,(45.470527407491
3,METRO,100082,SAN DONATO - COMASINA,15.63,21,9.202420156,45.47052741,(45.470527407491
4,METRO,100163,LINATE AEROPORTO - SAN CRISTOFORO,14.14,21,9.200857934,45.4605687,(45.4605686957584
4,METRO,100164,SAN CRISTOFORO - LINATE AEROPORTO,14.16,21,9.200934774,45.46057197,(45.4605719743837
5,METRO,100084,BIGNAMI - SAN SIRO STADIO,12.18,19,9.172082337,45.49005203,(45.4900520315291
5,METRO,100089,SAN SIRO STADIO - BIGNAMI,12.18,19,9.172082337,45.49005203,(45.4900520315069
